frame.number,frame.time_epoch,ip.src,ip.dst,ipv6.src,ipv6.dst,sctp.srcport,sctp.dstport,s1ap.ENB_UE_S1AP_ID,s1ap.MME_UE_S1AP_ID,s1ap.procedureCode
"164","1758134425.923368000","18.8.23.13","10.3.7.50",,,"36412","36412","13695","59411","23"
"165","1758134425.940176000","10.3.7.50","18.8.23.13",,,"36412","36412","13695","59411","23"
"166","1758134425.942535000",,,"2600:300:300a:2::6","2600:300:20e2:a315::1:db85","36412","42968","7948","133801508","23"
"167","1758134425.942536000",,,"2600:300:20e2:a315::1:db85","2600:300:300a:2::6","42968","36412","59411","121448855","23"
"168","1758134426.260077000","18.8.23.13","10.3.7.50",,,"36412","36412","13696","7948","23"
"169","1758134426.260078000","10.3.7.50","18.8.23.13",,,"36412","36412","13696","7948","23"
"170","1758134426.260079000",,,"2600:300:20e2:a315::1:db85","2600:300:300a:2::6","42968","36412","7948","133801508","23"
"171","1758134426.430531000","10.3.7.2","18.8.23.13",,,"36412","36412","4006",,"12"
"172","1758134426.430532000","7.193.167.162","10.165.94.130",,,"41712","36412","34578",,"12"
"173","1758134426.664595000","10.3.7.2","18.8.23.13",,,"36412","36412","4006","34578","9"
"174","1758134426.664610000","7.193.167.162","10.165.94.130",,,"41712","36412","34578","2178739499","9"
"175","1758134426.664612000","10.3.7.34","18.8.23.13",,,"36412","36412","3406",,"12"
"176","1758134426.722299000",,,"2001:4888:2010:22:106:4402:1:5273","2001:4888:2010:5092:123:28a:0:32","53625","36412","36882",,"12"
"177","1758134426.722303000",,,"2001:4888:2010:5092:123:28a:0:32","2001:4888:2010:22:106:4402:1:5273","36412","53625","36882","4813244","9"
"178","1758134426.722304000","18.8.23.13","10.3.7.34",,,"36412","36412","3406","36882","9"
"179","1758134427.326825000","10.3.7.34","18.8.23.13",,,"36412","36412","3406","36882","9"
"180","1758134427.326825000",,,"2001:4888:2010:22:106:4402:1:5273","2001:4888:2010:5092:123:28a:0:32","53625","36412","36882","4813244","9"
"181","1758134427.369338000","10.3.7.17","18.8.23.13",,,"36412","36412","24521",,"12"
"182","1758134427.369338000",,,"2600:300:20e2:a315::1:db85","2600:300:300a:2::6","42968","36412","1522701",,"12"
"183","1758134427.369351000",,,"2600:300:300a:2::6","2600:300:20e2:a315::1:db85","36412","42968","20236","120890223","23"
"184","1758134427.369352000","18.8.23.13","10.3.7.17",,,"36412","36412","24520","20236","23"
"185","1758134427.386644000",,,"2600:300:300a:2::6","2600:300:20e2:a315::1:db85","36412","42968","1522701","130095978","23"
"186","1758134427.483067000","10.3.7.17","18.8.23.13",,,"36412","36412","24520","20236","23"
"187","1758134427.483067000",,,"2600:300:20e2:a315::1:db85","2600:300:300a:2::6","42968","36412","20236","120890223","23"
"188","1758134427.483071000","18.8.23.13","10.3.7.17",,,"36412","36412","24521","1522701","23"
"189","1758134427.483083000","10.3.7.17","18.8.23.13",,,"36412","36412","24521","1522701","23"
"190","1758134427.483084000",,,"2600:300:20e2:a315::1:db85","2600:300:300a:2::6","42968","36412","1522701","130095978","23"
"191","1758134427.595344000","10.164.26.130","7.193.167.162",,,"36412","53706","37905","3250328106","0"
"192","1758134427.595345000","18.8.23.13","10.3.7.34",,,"36412","36412","3405","37905","0"
"193","1758134427.595345000","10.3.7.34","18.8.23.13",,,"36412","36412","3405","37905","24"
"194","1758134427.595346000","7.193.167.162","10.164.26.130",,,"53706","36412","37905","3250328106","24"
"195","1758134428.353831000","10.164.26.130","7.193.167.162",,,"36412","53706","37905","3250328106","23"
"196","1758134428.353831000","18.8.23.13","10.3.7.34",,,"36412","36412","3405","37905","23"
"197","1758134428.353832000","10.3.7.34","18.8.23.13",,,"36412","36412","3405","37905","23"
